Actividades según jerarquía (CNAE-2009);Índice y tasas;Periodo;Total
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M08;91,757
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M07;103,832
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M06;92,720
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M05;91,475
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M04;88,755
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M03;89,062
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M02;80,918
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M01;96,376
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M12;110,611
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M11;87,352
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M10;91,121
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M09;89,195
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M08;89,191
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M07;99,785
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M06;89,057
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M05;89,750
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M04;86,435
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M03;85,585
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M02;79,213
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2014M01;93,540
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M12;105,773
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M11;87,090
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M10;89,403
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M09;86,895
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M08;90,274
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M07;99,972
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M06;89,120
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M05;88,732
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M04;86,333
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M03;85,234
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M02;79,436
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2013M01;93,377
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M12;105,500
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M11;84,703
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M10;89,817
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M09;85,115
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M08;96,189
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M07;103,391
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M06;97,710
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M05;94,927
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M04;90,601
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M03;97,739
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M02;89,750
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2012M01;104,322
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M12;120,528
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M11;94,905
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M10;100,654
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M09;100,144
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M08;98,428
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M07;112,054
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M06;102,750
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M05;98,980
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M04;102,167
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M03;100,859
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M02;92,514
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2011M01;107,996
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M12;128,773
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2010M11;102,096
